,Unnamed: 0,soldPrice,bednumber,propertyType,duration_free_not_lease,isNew,latitude,longitude,nearest_hospital_distance
213,213,280000,3,Detached,1,0,51.332959,-2.8652729999999997,0.006011056736928172
214,214,170000,2,Detached,1,0,51.329232559233,-2.87893895256342,0.007810336668683474
215,215,240000,3,Detached,1,0,51.326716972893,-2.8617113135428305,0.0033167419478475108
216,216,168000,2,Semi-Detached,1,0,51.32956655656661,-2.87756744708458,0.0065372330650054055
217,217,250000,3,Detached,1,0,51.326716972893,-2.8617113135428305,0.0033167419478475108
218,218,120000,2,Flat,0,0,51.328332,-2.8660759999999996,0.005176580285863436
219,219,193000,3,Semi-Detached,1,0,51.328120902709706,-2.8639909924532403,0.0053759737465320645
220,220,168000,4,Semi-Detached,1,0,51.3279509899827,-2.8662985570006,0.004938749303058963
221,221,155000,2,Semi-Detached,1,0,51.327963052731285,-2.8707337207781203,0.000504379406615525
222,222,135000,3,Terraced,1,0,51.328186022087706,-2.87459879931112,0.003370935655109992
223,223,172500,3,Terraced,1,0,51.3274169868388,-2.86311661770769,0.0045280022120773354
224,224,297500,4,Flat,1,0,51.3271929351157,-2.86545183526869,0.00583274529011563
225,225,155000,2,Semi-Detached,1,0,51.32856063984701,-2.8738021749943594,0.0026402730821393906
226,226,155000,3,Semi-Detached,1,0,51.327963052731285,-2.8707337207781203,0.000504379406615525
227,227,158000,2,Detached,1,0,51.328754347258304,-2.8755568991475404,0.004396778556773242
228,228,250000,3,Detached,1,0,51.329232559233,-2.87893895256342,0.007810336668683474
229,229,155000,3,Semi-Detached,1,0,51.32956655656661,-2.87756744708458,0.0065372330650054055
230,230,420000,4,Detached,1,1,51.329924,-2.8708,0.0020372179220649834
231,231,445000,4,Semi-Detached,1,0,51.3271929351157,-2.86545183526869,0.00583274529011563
232,232,138750,2,Semi-Detached,1,0,51.32856063984701,-2.8738021749943594,0.0026402730821393906
233,233,170000,2,Detached,1,0,51.3290369201869,-2.87504557855719,0.003964719587907173
234,234,139950,3,Flat,1,0,51.3274169868388,-2.86311661770769,0.0045280022120773354
235,235,176950,2,Semi-Detached,1,0,51.330544,-2.874486,0.0036512399094320966
236,236,245000,4,Terraced,1,0,51.328120902709706,-2.8639909924532403,0.0053759737465320645
237,237,154400,2,Semi-Detached,1,0,51.3290369201869,-2.87504557855719,0.003964719587907173
238,238,157500,2,Semi-Detached,1,0,51.330544,-2.874486,0.0036512399094320966
239,239,151000,2,Semi-Detached,1,0,51.330544,-2.874486,0.0036512399094320966
240,240,120000,3,Semi-Detached,1,0,51.327362,-2.87438745729038,0.0032017365671062896
241,241,182500,4,Terraced,1,0,51.32808766037751,-2.87211392981597,0.0008899710856591258
242,242,207500,3,Detached,1,0,51.32684030781421,-2.86814340766658,0.003281581351775027
243,243,145000,3,Semi-Detached,1,0,51.3272344000256,-2.87198292059829,0.001022640739008355
244,244,172000,3,Semi-Detached,1,0,51.3286673787035,-2.866526,0.004767976064343916
245,245,189500,2,Detached,1,0,51.328813095712995,-2.8761177782024103,0.004958994409924055
246,246,112500,2,Detached,1,0,51.326552439409284,-2.8669467457547904,0.004413105826731844
247,247,160000,2,Semi-Detached,1,0,51.330544,-2.874486,0.0036512399094320966
248,248,490000,4,Detached,1,0,51.3277807278942,-2.86134374071202,0.002729802539352176
249,249,164000,2,Semi-Detached,1,0,51.329207000000004,-2.886057,0.009277459333396172
250,250,198500,2,Detached,1,0,51.3289828056299,-2.87986711282754,0.008693301247623457
251,251,154950,1,Detached,1,0,51.32763956798039,-2.868963,0.002293291687786614
252,252,120000,2,Semi-Detached,1,0,51.32914010601971,-2.8744734265064,0.003453506839447636
253,253,276000,4,Detached,1,0,51.329670562010705,-2.87327786100527,0.00267931071337059
254,254,340000,4,Detached,1,0,51.330903446734396,-2.8486851103408903,0.001983832548528346
255,255,345000,3,Detached,1,0,51.329924,-2.8708,0.0020372179220649834
256,256,245000,1,Semi-Detached,1,0,51.328120902709706,-2.8639909924532403,0.0053759737465320645
257,257,185950,2,Detached,1,0,51.3273490526284,-2.86865534948904,0.00264741920295553
258,258,181000,4,Semi-Detached,1,0,51.327087345588595,-2.873616290049529,0.002525266545531633
259,259,163000,2,Semi-Detached,1,0,51.3285940062621,-2.8789554461072897,0.007746313802211254
260,260,160000,2,Semi-Detached,1,0,51.330544,-2.874486,0.0036512399094320966
261,261,242500,4,Semi-Detached,1,0,51.3301079926701,-2.87851074553284,0.00757126400897837
262,262,128000,4,Terraced,1,0,51.328186022087706,-2.87459879931112,0.003370935655109992
263,263,150000,2,Semi-Detached,1,0,51.3278678934239,-2.87625763793483,0.005020798664948146
264,264,135000,2,Detached,1,0,51.32693840204311,-2.86704013922998,0.0043136663091741054
265,265,157000,3,Semi-Detached,1,0,51.330544,-2.874486,0.0036512399094320966
266,266,158500,2,Semi-Detached,1,0,51.3286644772258,-2.87795209978514,0.006754409042084554
267,267,285000,4,Terraced,1,0,51.3288872492327,-2.870048,0.0015239950170170997
268,268,280000,3,Detached,1,0,51.3295467369157,-2.88020802948238,0.009114518510190253
269,269,160000,2,Semi-Detached,1,0,51.330544,-2.874486,0.0036512399094320966
270,270,285000,4,Detached,1,0,51.28877779,-2.463318896,0.0006496670979670132
271,271,487000,4,Semi-Detached,1,0,51.38944579,-2.401028988,0.009830192916785866
272,272,175000,3,Terraced,1,0,51.28536087,-2.478957031,0.0009328527624232739
273,273,235000,3,Semi-Detached,1,0,51.4162869107027,-2.50327515470366,0.003668895065707663
274,274,280000,3,Semi-Detached,1,0,51.3579290371173,-2.57948445293583,0.003164192427356152
275,275,483000,4,Semi-Detached,1,0,51.39881181,-2.345813,0.005567801384095998
276,276,285000,2,Semi-Detached,1,0,51.37393586,-2.390161504,0.001347953875864845
277,277,250000,2,Semi-Detached,1,0,51.37945,-2.397521906,0.0063285289876882575
278,278,267000,3,Terraced,1,0,51.35879893,-2.383167824,0.0046791432723025635
279,279,200000,2,Terraced,1,0,51.4064707688986,-2.51300111682521,0.0001866907308134621
280,280,232000,3,Semi-Detached,1,0,51.3040589916963,-2.50785576473012,0.001000140719005661
281,281,252000,3,Semi-Detached,1,0,51.39658137,-2.394206405,0.0030763179018493585
282,282,170000,2,Terraced,1,0,51.35879893,-2.383167824,0.0046791432723025635
283,283,340000,3,Terraced,0,0,51.39301982,-2.34611381,0.005293184368333872
284,284,387475,4,Semi-Detached,1,0,51.4036508486625,-2.48690589085785,0.0029003823895665435
285,285,235000,3,Terraced,1,0,51.405682727437714,-2.51020322915722,0.00144952459533886
286,286,290000,2,Terraced,1,0,51.38064177,-2.385304449,0.005906007968059064
287,287,214000,3,Terraced,1,0,51.34313075,-2.48395251,0.0005630253731779809
288,288,209000,1,Terraced,1,0,51.40083831,-2.298663384,0.007265817425742437
289,289,252000,3,Semi-Detached,1,0,51.3022417477151,-2.5059852866192203,0.002287710133918463
290,290,1550000,5,Terraced,1,0,51.38485554,-2.363856646,0.0033335527301636375
291,291,290000,3,Terraced,1,0,51.39554516,-2.38691,0.004620361334268463
292,292,165000,3,Terraced,1,0,51.28056404,-2.497201794,0.001904059811765638
293,293,595000,2,Semi-Detached,1,0,51.37432074,-2.347926559,0.003530258397424723
294,294,330000,3,Semi-Detached,1,0,51.37159353,-2.396850455,0.005797040427791455
295,295,160000,3,Terraced,1,0,51.28337217,-2.490177636,0.0022931536202775117
296,296,260000,3,Semi-Detached,1,0,51.37343616,-2.3862926730000003,0.004924017534399737
297,297,850000,6,Terraced,1,0,51.41166997,-2.320316029,0.000996238703277304
298,298,285000,4,Detached,1,0,51.329922321878215,-2.53938789144559,0.0020679615251804695
299,299,187500,2,Flat,0,0,51.39668131,-2.391217524,0.0005699824685279256
300,300,220000,3,Terraced,1,0,51.40496799290551,-2.5091457942565896,0.0026539873706696512
301,301,233000,2,Terraced,1,0,51.39391449,-2.395793233,0.005108705736085187
302,302,372000,3,Detached,1,0,51.3074664874482,-2.50795077859346,0.003299268816661625
303,303,3500000,8,Detached,1,0,51.38887334,-2.456684106,0.0018203459073688635
304,304,500000,4,Semi-Detached,1,0,51.39317457,-2.399207536,0.00814380452319394
305,305,365500,3,Terraced,1,0,51.39023645,-2.35968844,0.0007387066622239348
306,306,165950,2,Semi-Detached,1,0,51.28416777,-2.486988592,0.0010572410796041872
307,307,315000,2,Terraced,1,0,51.37516462,-2.380172516,0.0026319981431848624
308,308,289950,3,Detached,1,0,51.29333596,-2.487831386,0.0017169491175972069
309,309,270000,3,Semi-Detached,1,0,51.3712156,-2.391589311,0.0017335225103602898
310,310,257000,3,Terraced,1,0,51.407836934736004,-2.51313143032894,0.0004968250412217337
311,311,145000,1,Flat,0,0,51.36986022,-2.396232116,0.005087306195937063
