,soldPrice,bednumber,propertyType,duration_free_not_lease,isNew,latitude,longitude
75,505000,4,Semi-Detached,1,0,51.35870615,-2.367225387
76,385000,3,Terraced,1,0,51.36936199,-2.386574401
77,355000,2,Semi-Detached,1,0,51.3725078,-2.349809141
78,265000,2,Terraced,1,0,51.39947529,-2.3493249819999997
79,596000,4,Semi-Detached,0,0,51.39547965,-2.347425989
80,325000,2,Semi-Detached,1,0,51.40231636,-2.340261324
81,404200,2,Terraced,1,0,51.37834074,-2.379537916
82,405000,3,Detached,0,0,51.39618289,-2.355782371
83,770000,5,Semi-Detached,1,0,51.35987167,-2.356692846
84,925000,5,Detached,1,0,51.35297107,-2.36381925
85,740000,4,Detached,1,0,51.36141294,-2.337243375
86,485000,3,Detached,1,0,51.38823349,-2.361900244
87,260000,3,Semi-Detached,1,0,51.37013066,-2.3741547780000003
88,285000,2,Flat,0,0,51.37758148,-2.369531669
89,480000,4,Terraced,0,0,51.37616455,-2.365468669
90,235500,2,Terraced,1,0,51.36085652,-2.3610092590000002
91,1800000,4,Terraced,1,0,51.38128028,-2.347936256
92,925000,3,Semi-Detached,1,0,51.3750013,-2.363649164
93,290000,2,Terraced,1,0,51.38105327,-2.380451234
94,230000,3,Terraced,1,0,51.3764993,-2.40580071
95,989000,4,Detached,0,0,51.3947452,-2.364236987
96,307500,3,Semi-Detached,1,0,51.35615439,-2.377932681
97,340000,3,Semi-Detached,1,0,51.37234328,-2.393164845
98,257500,2,Terraced,1,0,51.38543888,-2.383922108
99,495000,4,Terraced,0,0,51.37427095,-2.375812
100,250000,2,Flat,0,0,51.37979944,-2.364750477
101,280000,3,Semi-Detached,1,0,51.35726119,-2.380455041
102,284000,2,Semi-Detached,0,0,51.39328213,-2.3202881090000003
103,265000,3,Terraced,1,0,51.4110482,-2.317507925
104,237000,2,Semi-Detached,1,0,51.37529765,-2.4022557819999997
105,460000,4,Semi-Detached,1,0,51.40434226,-2.313493636
106,285000,2,Terraced,1,0,51.39947529,-2.3493249819999997
107,385000,4,Semi-Detached,1,0,51.36689999,-2.391466291
108,795000,4,Terraced,1,0,51.39365199,-2.348217011
109,950000,4,Terraced,1,0,51.39463735,-2.346442234
110,225000,2,Terraced,1,0,51.35912422,-2.382682232
111,380000,3,Detached,1,0,51.4034027,-2.340830049
112,320000,2,Terraced,1,0,51.3781905,-2.384249362
113,194000,1,Flat,0,0,51.382385,-2.366582
114,359950,3,Detached,1,0,51.35234264,-2.37770026
115,291000,3,Terraced,1,0,51.396733,-2.397686
116,140000,1,Flat,0,0,51.387977,-2.363781
117,304000,3,Terraced,1,0,51.36365348,-2.380709127
118,325000,3,Semi-Detached,1,0,51.40384702,-2.323668437
119,281000,3,Terraced,1,0,51.37092037,-2.388440706
120,240000,2,Terraced,1,0,51.37523551,-2.388707121
121,270000,1,Flat,0,0,51.38750609,-2.358675428
122,385000,3,Semi-Detached,1,0,51.40346584,-2.328165387
123,480000,5,Detached,1,0,51.36563845,-2.36718
124,229000,3,Terraced,1,0,51.37787738,-2.405123245
125,512000,4,Terraced,0,0,51.37606276,-2.360597349
126,565000,5,Semi-Detached,1,0,51.39140588,-2.395771573
127,585000,3,Semi-Detached,1,0,51.37043926,-2.370422258
128,207000,2,Flat,0,0,51.39696822,-2.342693911
129,250000,3,Semi-Detached,1,0,51.3712156,-2.391589311
130,210000,2,Flat,0,0,51.39285783,-2.34918831
131,1200000,6,Semi-Detached,0,0,51.39462029,-2.3491586190000002
132,1300000,6,Semi-Detached,1,0,51.38727619,-2.39128
133,500000,4,Detached,1,0,51.39291677,-2.319078261
134,500000,4,Detached,1,0,51.39291677,-2.319078261
135,1025000,6,Semi-Detached,1,0,51.37474376,-2.371218464
136,998000,4,Semi-Detached,1,0,51.39166477,-2.360130813
137,210000,2,Flat,0,0,51.37117604,-2.379018931
138,330000,3,Terraced,1,0,51.39916341,-2.348373886
139,1200000,4,Semi-Detached,1,0,51.37300727,-2.35415158
140,555000,4,Detached,1,0,51.36370967,-2.368659
141,482500,3,Terraced,1,0,51.38865033,-2.3834891209999998
142,140000,1,Terraced,0,0,51.3956508,-2.3901594680000002
143,260000,3,Terraced,1,0,51.36950255,-2.395640052
144,237000,2,Terraced,1,0,51.40019717,-2.354462303
145,600000,3,Detached,1,0,51.35806241,-2.360254835
146,155000,1,Flat,0,0,51.387977,-2.363781
147,315000,3,Semi-Detached,1,0,51.37626594,-2.376532
148,150000,1,Flat,0,0,51.37973793,-2.3894349669999997
149,675000,4,Terraced,1,0,51.36067057,-2.348182115
150,300000,3,Semi-Detached,1,0,51.37368163,-2.3962507580000003
151,963000,4,Terraced,1,0,51.3957693,-2.36164353
152,435000,3,Detached,1,0,51.36259257,-2.3778995259999998
153,350000,3,Semi-Detached,1,0,51.38944579,-2.401028988
154,203500,2,Terraced,0,0,51.38038956,-2.393549934
155,335000,3,Terraced,1,0,51.35234264,-2.37770026
156,360000,3,Terraced,0,0,51.37640633,-2.362898833
157,525000,3,Detached,1,0,51.3953273,-2.356235676
158,490000,3,Semi-Detached,1,0,51.37367146,-2.369097905
159,260000,3,Detached,1,0,51.3769395,-2.392730114
160,980000,4,Detached,1,0,51.39426534,-2.376651435
161,842000,5,Detached,1,0,51.39129345,-2.378092966
162,380000,2,Flat,0,0,51.38504425,-2.352132147
163,520000,3,Semi-Detached,1,0,51.38844554,-2.393719682
164,410000,2,Terraced,0,0,51.39427298,-2.356989249
165,630000,2,Flat,0,0,51.39185432,-2.368568801
166,345000,2,Terraced,1,0,51.37583729,-2.383453818
167,385000,3,Terraced,1,0,51.36854912,-2.390374261
168,490000,4,Semi-Detached,1,0,51.38686152,-2.399468721
169,650000,3,Semi-Detached,1,0,51.37586613,-2.348326197
170,340000,2,Terraced,1,0,51.38621301,-2.380910791
171,246000,2,Semi-Detached,1,0,51.38460575,-2.399132929
172,610000,4,Semi-Detached,1,0,51.36649456,-2.3724157740000003
173,275000,2,Flat,0,0,51.38678436,-2.356514186
174,385000,2,Terraced,1,0,51.39589245,-2.322562989
175,490000,3,Terraced,1,0,51.39729021,-2.346664
176,266000,2,Flat,0,0,51.37306753,-2.3667082319999997
177,228000,2,Flat,0,0,51.37117604,-2.379018931
178,485000,4,Semi-Detached,1,0,51.39436587,-2.384456812
179,260000,3,Flat,0,0,51.40348311,-2.373435126
180,285000,3,Semi-Detached,1,0,51.35531285,-2.376791249
181,342500,3,Terraced,1,0,51.39709645,-2.388058814
182,135000,1,Flat,0,0,51.39668131,-2.391217524
183,275000,3,Terraced,1,0,51.36165334,-2.362121461
184,460000,3,Semi-Detached,1,0,51.40381292,-2.401485364
185,395000,3,Terraced,1,0,51.38296356,-2.390152095
186,315000,3,Terraced,0,0,51.39735995,-2.3926319659999997
187,335000,2,Terraced,1,0,51.37533506,-2.377516022
188,210000,2,Terraced,1,0,51.36226968,-2.35760199
189,208000,1,Terraced,1,0,51.363683,-2.388451
190,225500,2,Terraced,1,0,51.3634478,-2.383120462
191,304000,3,Terraced,1,0,51.36210194,-2.382233087
192,950000,4,Terraced,1,0,51.38665696,-2.365753492
193,239950,2,Terraced,1,0,51.37903492,-2.389931885
194,222000,2,Flat,0,0,51.3944488,-2.3523768730000003
195,185000,2,Flat,0,0,51.39248237,-2.3544457569999997
196,675000,5,Terraced,1,0,51.38429403,-2.3875337290000003
197,620000,4,Terraced,1,0,51.38579313,-2.390995281
198,385000,3,Semi-Detached,1,0,51.40025851,-2.342919766
199,545000,4,Detached,1,0,51.36245969,-2.363061421
200,837000,4,Detached,0,0,51.40946433,-2.307906998
201,415000,4,Semi-Detached,1,0,51.38690167,-2.400877399
202,245000,3,Semi-Detached,1,0,51.37830658,-2.3952993240000002
